Group,Fly Number,Bin Length,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Bin 26,Bin 27,Bin 28,Bin 29,Bin 30,Bin 31,Bin 32,Bin 33,Bin 34,Bin 35,Bin 36,Bin 37,Bin 38,Bin 39,Bin 40,Bin 41,Bin 42,Bin 43,Bin 44,Bin 45,Bin 46,Bin 47,Bin 48
ALAN,Fly 1,30 min,4.2222,3,0.55556,0,0,0,2.5556,0.66667,2,0.88889,2.4444,1.6667,1.6667,4.3333,5.6667,5,6.3333,8.3333,8.6667,18,25,16.7778,22.5556,20.2222,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
ALAN,Fly 2,30 min,14.7778,4.2222,0,1,1.7778,3.5556,1.5556,1.4444,3.1111,2.8889,1.1111,2.6667,3.4444,3,6.5556,4.3333,3.6667,6.5556,7.4444,16.4444,21.1111,13.4444,26.1111,20.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
ALAN,Fly 3,30 min,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
ALAN,Fly 4,30 min,15.6667,7.5556,6.2222,1.8889,2,1,0.88889,1.8889,0,0,0,0,0.55556,0,0.77778,0.66667,1.1111,2.7778,1.5556,3.6667,2.8889,1.5556,6.5556,8,22.4444,30,29.8889,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
ALAN,Fly 5,30 min,8.3333,4.2222,0,0,0.77778,0,0,0,0,0.55556,0,0,3.8889,13.5556,10.2222,17.1111,14.2222,17.2222,20.8889,22.1111,19.6667,11.1111,14.6667,7.5556,24.8889,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28.4444,29.8889
ALAN,Fly 6,30 min,25,11.5556,1.1111,0.33333,0.66667,0,0,0,0,2.4444,3.1111,1.2222,3.5556,5.8889,13.8889,10.4444,14.5556,15.3333,22.6667,24,22.4444,12.2222,20.4444,11.4444,27.5556,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
ALAN,Fly 7,30 min,18.8889,5.6667,1.2222,3.3333,3.2222,2.2222,3.5556,2.1111,3.1111,2.7778,4,7.4444,3.8889,6.6667,4,6.2222,3.5556,6.3333,8.2222,11.5556,10.5556,6.8889,12.6667,16.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
ALAN,Average,30 min,16.6984,9.4603,5.5873,5.2222,5.4921,5.254,5.5079,5.1587,5.4603,5.6508,5.8095,6.1429,6.7143,9.0635,10.1587,10.5397,10.4921,12.3651,14.2063,17.9683,18.8095,13.1429,19,16.2063,27.5079,30,29.9841,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29.7778,29.9841
ALAN,SEM,30 min,3.3842,3.5887,4.1497,4.1544,4.1042,4.1558,4.1116,4.1526,4.125,4.0814,4.0727,4.0902,3.9105,3.8285,3.6732,3.8023,3.8141,3.5244,3.8973,3.2597,3.4654,3.3659,3.0863,3.0336,1.0638,0,0.015873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222,0.015873
Day,Fly 1,30 min,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Day,Fly 2,30 min,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Day,Fly 3,30 min,6.2222,1.7778,0,0,1.7778,0.66667,1,3.1111,5.2222,3.2222,0.77778,4.3333,5,9.4444,8.1111,6,8.2222,9,7.4444,10,7.4444,4.8889,10.1111,13.3333,19.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333,23.3333
Day,Fly 4,30 min,28.6667,29.6667,29.4444,29.1111,28.4444,27.3333,26.6667,26.6667,27.8889,25.8889,25.6667,23.7778,26.7778,27.8889,28.8889,26.5556,28.7778,29.5556,29.2222,29.3333,28.6667,15.3333,29.2222,29.8889,29.7778,30,30,30,30,30,30,30,30,29.8889,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Day,Fly 5,30 min,18.8889,5.6667,1.2222,3.3333,3.2222,2.2222,3.5556,2.1111,3.1111,2.7778,4,7.4444,3.8889,6.6667,4,6.2222,3.5556,6.3333,8.2222,11.5556,10.5556,6.8889,12.6667,16.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Day,Fly 6,30 min,18.8889,5.6667,1.2222,3.3333,3.2222,2.2222,3.5556,2.1111,3.1111,2.7778,4,7.4444,3.8889,6.6667,4,6.2222,3.5556,6.3333,8.2222,11.5556,10.5556,6.8889,12.6667,16.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Day,Average,30 min,22.1111,17.1296,15.3148,15.963,16.1111,15.4074,15.7963,15.6667,16.5556,15.7778,15.7407,17.1667,16.5926,18.4444,17.5,17.5,17.3519,18.537,18.8519,20.4074,19.537,15.6667,20.7778,22.5741,27.9259,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8704,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889,28.8889
Day,SEM,30 min,3.8326,5.7357,6.4877,6.1665,5.9878,6.1457,5.8886,5.9359,5.7152,5.7805,5.7872,4.9222,5.539,4.8809,5.4616,5.1027,5.5213,5.0762,4.8724,4.1981,4.5087,4.7654,4.0281,3.3303,1.7246,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1076,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111
Night,Fly 1,30 min,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Night,Fly 2,30 min,18.8889,5.6667,1.2222,3.3333,3.2222,2.2222,3.5556,2.1111,3.1111,2.7778,4,7.4444,3.8889,6.6667,4,6.2222,3.5556,6.3333,8.2222,11.5556,10.5556,6.8889,12.6667,16.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Night,Fly 3,30 min,18.8889,5.6667,1.2222,3.3333,3.2222,2.2222,3.5556,2.1111,3.1111,2.7778,4,7.4444,3.8889,6.6667,4,6.2222,3.5556,6.3333,8.2222,11.5556,10.5556,6.8889,12.6667,16.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Night,Fly 4,30 min,18.8889,5.6667,1.2222,3.3333,3.2222,2.2222,3.5556,2.1111,3.1111,2.7778,4,7.4444,3.8889,6.6667,4,6.2222,3.5556,6.3333,8.2222,11.5556,10.5556,6.8889,12.6667,16.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Night,Fly 5,30 min,18.8889,5.6667,1.2222,3.3333,3.2222,2.2222,3.5556,2.1111,3.1111,2.7778,4,7.4444,3.8889,6.6667,4,6.2222,3.5556,6.3333,8.2222,11.5556,10.5556,6.8889,12.6667,16.1111,29.2222,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Night,Average,30 min,21.1111,10.5333,6.9778,8.6667,8.5778,7.7778,8.8444,7.6889,8.4889,8.2222,9.2,11.9556,9.1111,11.3333,9.2,10.9778,8.8444,11.0667,12.5778,15.2444,14.4444,11.5111,16.1333,18.8889,29.3778,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Night,SEM,30 min,2.2222,4.8667,5.7556,5.3333,5.3556,5.5556,5.2889,5.5778,5.3778,5.4444,5.2,4.5111,5.2222,4.6667,5.2,4.7556,5.2889,4.7333,4.3556,3.6889,3.8889,4.6222,3.4667,2.7778,0.15556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
